"","island","item","wh","gap","region","model","surprisal"
"82","nocomp",5,"that","gap","continuation","GPT3",10.82033514
"83","nocomp",5,"that","gap","continuation","GRNN",19.6071124076843
"84","nocomp",5,"that","gap","continuation","JRNN",13.5820555686951
"85","nocomp",5,"that","gap","continuation","NGRAM",11.9407070198695
"86","nocomp",5,"that","nogap","embed_obj","GPT2",20.9051768779754
"87","nocomp",5,"that","nogap","embed_obj","GPT3",11.4032242
"88","nocomp",5,"that","nogap","embed_obj","GRNN",23.6674591302871
"89","nocomp",5,"that","nogap","embed_obj","JRNN",26.8585367202758
"90","nocomp",5,"that","nogap","embed_obj","NGRAM",33.9137721546348
"91","nocomp",5,"what","gap","continuation","GPT2",8.32662630081176
"92","nocomp",5,"what","gap","continuation","GPT3",9.8313535
"93","nocomp",5,"what","gap","continuation","GRNN",19.1386804580688
"94","nocomp",5,"what","gap","continuation","JRNN",12.3291342258453
"95","nocomp",5,"what","gap","continuation","NGRAM",11.9407070198695
"96","nocomp",5,"what","nogap","embed_obj","GPT2",22.9440490007401
"97","nocomp",5,"what","nogap","embed_obj","GPT3",12.025021
"98","nocomp",5,"what","nogap","embed_obj","GRNN",32.6962149143219
"99","nocomp",5,"what","nogap","embed_obj","JRNN",30.6480443477631
"100","nocomp",5,"what","nogap","embed_obj","NGRAM",33.9137721546348
"101","nocomp",6,"that","gap","continuation","GPT2",24.2122214511037
"102","nocomp",6,"that","gap","continuation","GPT3",18.705034126
"103","nocomp",6,"that","gap","continuation","GRNN",37.7838822007179
"104","nocomp",6,"that","gap","continuation","JRNN",36.2922950014473
"105","nocomp",6,"that","gap","continuation","NGRAM",38.8851458881104
"106","nocomp",6,"that","nogap","embed_obj","GPT2",9.264319896698
"107","nocomp",6,"that","nogap","embed_obj","GPT3",6.7254523
"108","nocomp",6,"that","nogap","embed_obj","GRNN",11.4430377483368
"109","nocomp",6,"that","nogap","embed_obj","JRNN",7.4944885969162
"110","nocomp",6,"that","nogap","embed_obj","NGRAM",16.3854099597481
"111","nocomp",6,"what","gap","continuation","GPT2",22.269971543923
"112","nocomp",6,"what","gap","continuation","GPT3",18.712379205
"113","nocomp",6,"what","gap","continuation","GRNN",34.8158986568451
"114","nocomp",6,"what","gap","continuation","JRNN",31.4282817654312
"115","nocomp",6,"what","gap","continuation","NGRAM",38.8851458881104
"116","nocomp",6,"what","nogap","embed_obj","GPT2",11.8168120384216
"117","nocomp",6,"what","nogap","embed_obj","GPT3",7.6430527
"118","nocomp",6,"what","nogap","embed_obj","GRNN",17.2600708007812
"119","nocomp",6,"what","nogap","embed_obj","JRNN",16.4949765205383
"120","nocomp",6,"what","nogap","embed_obj","NGRAM",16.3854099597481
"121","nocomp",7,"that","gap","continuation","GPT2",10.4297302365303
"122","nocomp",7,"that","gap","continuation","GPT3",8.9248369
"123","nocomp",7,"that","gap","continuation","GRNN",14.1922628879547
"124","nocomp",7,"that","gap","continuation","JRNN",16.1567962765694
"125","nocomp",7,"that","gap","continuation","NGRAM",24.3306125544641
"126","nocomp",7,"that","nogap","embed_obj","GPT2",6.24901986122131
"127","nocomp",7,"that","nogap","embed_obj","GPT3",3.3008211
"128","nocomp",7,"that","nogap","embed_obj","GRNN",10.9999668598175
"129","nocomp",7,"that","nogap","embed_obj","JRNN",5.16273379325867
"130","nocomp",7,"that","nogap","embed_obj","NGRAM",20.7212745741992
"131","nocomp",7,"what","gap","continuation","GPT2",8.87435060739517
"132","nocomp",7,"what","gap","continuation","GPT3",5.7177648
"133","nocomp",7,"what","gap","continuation","GRNN",11.4782248735428
"134","nocomp",7,"what","gap","continuation","JRNN",12.6335645914078
"135","nocomp",7,"what","gap","continuation","NGRAM",24.3306125544641
"136","nocomp",7,"what","nogap","embed_obj","GPT2",10.5331711769104
"137","nocomp",7,"what","nogap","embed_obj","GPT3",5.1226879
"138","nocomp",7,"what","nogap","embed_obj","GRNN",14.3772411346436
"139","nocomp",7,"what","nogap","embed_obj","JRNN",12.4403595924377
"140","nocomp",7,"what","nogap","embed_obj","NGRAM",20.7212745741992
"141","nocomp",8,"that","gap","continuation","GPT2",11.9248032569885
"142","nocomp",8,"that","gap","continuation","GPT3",9.8995147
"143","nocomp",8,"that","gap","continuation","GRNN",20.5575389862061
"144","nocomp",8,"that","gap","continuation","JRNN",19.021466255188
