test,item,lisc,pron,island,region,model,surprisal
gender_coord,10,male,fem,obj,pronoun,NGRAM,11.2733735133916
gender_coord,10,male,fem,obj,pronoun,NGRAM,11.2733735133916
gender_cnp,10,male,fem,obj,pronoun,NGRAM,11.2733735133916
gender_cnp,10,male,fem,obj,pronoun,NGRAM,11.2733735133916
gender_cnp,10,male,male,obj,pronoun,NGRAM,9.84960187272259
gender_cnp,10,male,male,obj,pronoun,NGRAM,9.84960187272259
gender_coord,10,male,male,obj,pronoun,NGRAM,9.84960187272259
gender_coord,10,male,male,obj,pronoun,NGRAM,9.84960187272259
gender_cnp,10,male,fem,island,pronoun,NGRAM,12.1188656344409
gender_cnp,10,male,male,island,pronoun,NGRAM,7.67270401677552
gender_coord,10,male,fem,island,pronoun,NGRAM,9.54576655180157
gender_coord,10,male,male,island,pronoun,NGRAM,7.53721895814034
gender_wh,10,male,fem,obj,pronoun,NGRAM,8.2139919561071
gender_wh,10,male,male,obj,pronoun,NGRAM,10.1772111545866
gender_wh,10,male,fem,island,pronoun,NGRAM,8.2139919561071
gender_wh,10,male,male,island,pronoun,NGRAM,10.1772111545866
gender_adjunct,10,male,fem,obj,pronoun,NGRAM,8.2139919561071
gender_adjunct,10,male,male,obj,pronoun,NGRAM,10.1772111545866
gender_adjunct,15,male,fem,obj,pronoun,NGRAM,8.16153532233205
gender_adjunct,15,male,male,obj,pronoun,NGRAM,6.18063657203877
gender_adjunct,10,male,fem,island,pronoun,NGRAM,8.2139919561071
gender_adjunct,10,male,male,island,pronoun,NGRAM,10.1772111545866
gender_adjunct,15,male,fem,island,pronoun,NGRAM,8.16153532233205
gender_adjunct,15,male,male,island,pronoun,NGRAM,6.18063657203877
gender_wh,15,male,fem,obj,pronoun,NGRAM,8.16153532233205
gender_wh,15,male,male,obj,pronoun,NGRAM,6.18063657203877
gender_wh,15,male,fem,island,pronoun,NGRAM,8.16153532233205
gender_wh,15,male,male,island,pronoun,NGRAM,6.18063657203877
gender_sent-subj,10,male,fem,island,pronoun,NGRAM,10.845309979217
gender_sent-subj,10,male,male,island,pronoun,NGRAM,8.48432258405155
gender_subj,10,male,fem,island,pronoun,NGRAM,9.42374915778868
gender_subj,10,male,male,island,pronoun,NGRAM,2.41762975291992
gender_sent-subj,10,male,fem,obj,pronoun,NGRAM,10.845309979217
gender_sent-subj,10,male,male,obj,pronoun,NGRAM,8.48432258405155
gender_cnp,15,male,fem,obj,pronoun,NGRAM,9.23260871914158
gender_coord,15,male,fem,obj,pronoun,NGRAM,9.23260871914158
gender_cnp,15,male,male,obj,pronoun,NGRAM,6.66655120481863
gender_coord,15,male,male,obj,pronoun,NGRAM,6.66655120481863
gender_cnp,15,male,fem,island,pronoun,NGRAM,11.7978437439736
gender_cnp,15,male,male,island,pronoun,NGRAM,10.3740723189022
gender_coord,15,male,fem,island,pronoun,NGRAM,9.54576655180157
gender_coord,15,male,male,island,pronoun,NGRAM,7.53721895814034
gender_subj,10,male,fem,obj,pronoun,NGRAM,9.42374915778868
gender_subj,10,male,male,obj,pronoun,NGRAM,2.41762975291992
gender_sent-subj,15,male,fem,island,pronoun,NGRAM,7.93824412676043
gender_sent-subj,15,male,male,island,pronoun,NGRAM,10.5831159253441
gender_subj,15,male,fem,island,pronoun,NGRAM,9.48981537321175
gender_subj,15,male,male,island,pronoun,NGRAM,6.8958182093961
gender_sent-subj,15,male,fem,obj,pronoun,NGRAM,7.3047571251691
gender_sent-subj,15,male,male,obj,pronoun,NGRAM,9.94962888899409
gender_subj,15,male,fem,obj,pronoun,NGRAM,9.48981537321175
gender_subj,15,male,male,obj,pronoun,NGRAM,6.8958182093961
gender_coord,2,fem,fem,obj,pronoun,NGRAM,9.23260871914158
gender_coord,2,fem,fem,obj,pronoun,NGRAM,9.23260871914158
gender_cnp,2,fem,fem,obj,pronoun,NGRAM,9.23260871914158
gender_cnp,2,fem,fem,obj,pronoun,NGRAM,9.23260871914158
gender_coord,2,fem,male,obj,pronoun,NGRAM,6.66655120481863
gender_coord,2,fem,male,obj,pronoun,NGRAM,6.66655120481863
gender_cnp,2,fem,male,obj,pronoun,NGRAM,6.66655120481863
gender_cnp,2,fem,male,obj,pronoun,NGRAM,6.66655120481863
gender_cnp,2,fem,fem,island,pronoun,NGRAM,11.7978437439736
gender_cnp,2,fem,male,island,pronoun,NGRAM,10.3740723189022
gender_coord,2,fem,fem,island,pronoun,NGRAM,9.54576655180157
gender_coord,2,fem,male,island,pronoun,NGRAM,7.53721895814034
gender_adjunct,2,fem,fem,obj,pronoun,NGRAM,11.596502969227
gender_adjunct,2,fem,male,obj,pronoun,NGRAM,10.1727315901119
gender_wh,2,fem,fem,obj,pronoun,NGRAM,11.596502969227
gender_wh,2,fem,male,obj,pronoun,NGRAM,10.1727315901119
gender_wh,2,fem,fem,island,pronoun,NGRAM,11.596502969227
gender_wh,2,fem,male,island,pronoun,NGRAM,10.1727315901119
gender_sent-subj,2,fem,fem,island,pronoun,NGRAM,10.7958805711437
gender_sent-subj,2,fem,male,island,pronoun,NGRAM,9.37210925995181
gender_subj,2,fem,fem,island,pronoun,NGRAM,9.48981537321175
gender_subj,2,fem,male,island,pronoun,NGRAM,6.8958182093961
gender_subj,2,fem,fem,obj,pronoun,NGRAM,9.48981537321175
gender_subj,2,fem,male,obj,pronoun,NGRAM,6.8958182093961
gender_sent-subj,2,fem,fem,obj,pronoun,NGRAM,10.7958805711437
gender_sent-subj,2,fem,male,obj,pronoun,NGRAM,9.37210925995181
gender_adjunct,2,fem,fem,island,pronoun,NGRAM,11.596502969227
gender_adjunct,2,fem,male,island,pronoun,NGRAM,10.1727315901119
gender_adjunct,3,male,fem,obj,pronoun,NGRAM,11.4383175378029
gender_adjunct,3,male,male,obj,pronoun,NGRAM,10.014545941865
